collateral_name,Body,paint,glass,tire,mechine,transmission,suspension,brake,AC,audio,power window,power steering,airbag,ABS,EBD,ESP,seat,dashboard,doortrim,carpet,interior lights,stang,screen,frame,Remote control,accessories,contrast,clarity,refresh rate speed,strength,bass,treble,image color,video color,button,port,camera,operating system,processor,RAM,storage,battery,connectivity,lens,viewfinder,censor,feature,Detail,resolution,frame rate,stability,Keyboard,mouse,graphics card,webcam,mikrofon,speaker,strap,Connector,cable,total score,Score percentage,Info,collateral_market_price,collateral_appraisal
Elektronik rumah,Sangat Kurang,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,17,0.85,baru,8832513,7507636.05
Elektrik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,8,1.0,bekas,4323008,4323008.0
HP,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Kurang,Baik,Baik,Kurang,Baik,Bukan kriteria,Baik,Baik,Baik,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,44,0.92,bekas,5631059,5180574.28
Kamera,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Cukup,Bukan kriteria,Baik,Baik,Cukup,Baik,Baik,Sangat Kurang,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,55,0.92,bekas,25274124,23252194.080000002
Alroji,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Sangat Kurang,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Cukup,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,16,0.8,bekas,2139795,1711836.0
Elektronik rumah,Cukup,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,19,0.95,bekas,2415297,2294532.15
Elektronik rumah,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,20,1.0,baru,5529132,5529132.0
Kamera,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Cukup,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Baik,Baik,Baik,Baik,Sangat Kurang,Baik,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,56,0.93,bekas,56629000,52664970.0
mobil,Baik,Baik,Baik,Baik,Baik,Baik,Sangat Kurang,Cukup,Bukan kriteria,Baik,Baik,Baik,Baik,Kurang,Baik,Baik,Kurang,Kurang,Baik,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,70,0.88,bekas,787525382,693022336.16
Elektrik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,12,1.0,baru,61254351,61254351.0
Elektrik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Kurang,Baik,10,0.83,baru,89570931,74343872.72999999
Kamera,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Baik,Kurang,Baik,Sangat Kurang,Baik,Baik,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,51,0.91,bekas,76378016,69503994.56
Alroji,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Sangat Kurang,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,17,0.85,baru,35458638,30139842.3
Kamera,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Sangat Kurang,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Baik,Baik,Baik,Baik,Baik,Baik,Sangat Kurang,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,54,0.9,bekas,43061686,38755517.4
Elektronik rumah,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,20,1.0,bekas,7558278,7558278.0
Kamera,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Baik,Bukan kriteria,Baik,Kurang,Baik,Baik,Kurang,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,52,0.93,bekas,64582967,60062159.31
mobil,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Kurang,Baik,Baik,Baik,Baik,Baik,Cukup,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,81,0.96,bekas,728724299,699575327.04
Alroji,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Sangat Kurang,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,17,0.85,baru,69864048,59384440.8
motor,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Kurang,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,34,0.94,baru,40178745,37768020.3
Elektronik rumah,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Sangat Kurang,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Kurang,Kurang,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,13,0.65,baru,67374774,43793603.1
Elektrik,Kurang,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Kurang,8,0.67,bekas,5034882,3373370.9400000004
HP,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Baik,Baik,Baik,Bukan kriteria,Baik,Baik,Baik,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,48,1.0,baru,41064938,41064938.0
HP,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Kurang,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Sangat Kurang,Baik,Bukan kriteria,Baik,Baik,Bukan kriteria,Baik,Cukup,Baik,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,38,0.86,bekas,1233480,1060792.8
Elektrik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,8,1.0,baru,50439908,50439908.0
mobil,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Sangat Kurang,Baik,Baik,Baik,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,81,0.96,bekas,932647427,895341529.92
Komputer/Laptop,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Baik,Baik,Bukan kriteria,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Bukan kriteria,Baik,Baik,Baik,Bukan kriteria,Baik,Baik,Bukan kriteria,Bukan kriteria,Bukan kriteria,44,1.0,bekas,4259383,4259383.0
